probes,genes,,,,,,,,,,,,,,,,,,,
54764_at,ZRANB1,,,,,,,,,,,,,,,,,,,
8882_at,ZPR1,,,,,,,,,,,,,,,,,,,
131368_at,ZPLD1,,,,,,,,,,,,,,,,,,,
124626_at,ZPBP2,,,,,,,,,,,,,,,,,,,>
11055_at,ZPBP,,,,,,,,,,,,,,,,,,,
57829_at,ZP4,,,,,,,,,,,,,,,,,,,
7784_at,ZP3,,,,,,,,,,,,,,,,,,,
7783_at,ZP2,,,,,,,,,,,,,,,,,,,
22917_at,ZP1,,,,,,,,,,,,,,,,,,,
148066_at,ZNRF4,,,,,,,,,,,,,,,,,,,
100874123_at,ZNRF3-AS1,,,,,,,,,,,,,,,,,,,
84133_at,ZNRF3,,,,,,,,,,,,,,,,,,,
100271874_at,ZNRF2P2,,,,,,,,,,,,,,,,,,,
441208_at,ZNRF2P1,,,,,,,,,,,,,,,,,,,
223082_at,ZNRF2,,,,,,,,,,,,,,,,,,,
84937_at,ZNRF1,,,,,,,,,,,,,,,,,,,
80862_at,ZNRD1ASP,,,,,,,,,,,,,,,,,,,
30834_at,ZNRD1,,,,,,,,,,,,,,,,,,,
54680_at,ZNHIT6,,,,,,,,,,,,,,,,,,,
9326_at,ZNHIT3,,,,,,,,,,,,,,,,,,,
741_at,ZNHIT2,,,,,,,,,,,,,,,,,,,
100288248_at,ZNHIT1P1,,,,,,,,,,,,,,,,,,,
10467_at,ZNHIT1,,,,,,,,,,,,,,,,,,,
57169_at,ZNFX1,,,,,,,,,,,,,,,,,,,
7652_at,ZNF99,,,,,,,,,,,,,,,,,,,
148198_at,ZNF98,,,,,,,,,,,,,,,,,,,
81931_at,ZNF93,,,,,,,,,,,,,,,,,,,
168374_at,ZNF92,,,,,,,,,,,,,,,,,,,
7644_at,ZNF91,,,,,,,,,,,,,,,,,,,
7661_at,ZNF90P1,,,,,,,,,,,,,,,,,,,
7643_at,ZNF90,,,,,,,,,,,,,,,,,,,
101060200_at,ZNF891,,,,,,,,,,,,,,,,,,,
645700_at,ZNF890P,,,,,,,,,,,,,,,,,,,
388559_at,ZNF888,,,,,,,,,,,,,,,,,,,
100419709_at,ZNF887P,,,,,,,,,,,,,,,,,,,
169834_at,ZNF883,,,,,,,,,,,,,,,,,,,
400713_at,ZNF880,,,,,,,,,,,,,,,,,,,
345462_at,ZNF879,,,,,,,,,,,,,,,,,,,
729747_at,ZNF878,,,,,,,,,,,,,,,,,,,
642280_at,ZNF876P,,,,,,,,,,,,,,,,,,,
100507290_at,ZNF865,,,,,,,,,,,,,,,,,,,
643641_at,ZNF862,,,,,,,,,,,,,,,,,,,
344787_at,ZNF860,,,,,,,,,,,,,,,,,,,
54753_at,ZNF853,,,,,,,,,,,,,,,,,,,
285346_at,ZNF852,,,,,,,,,,,,,,,,,,,
342892_at,ZNF850,,,,,,,,,,,,,,,,,,,
7639_at,ZNF85,,,,,,,,,,,,,,,,,,,
162993_at,ZNF846,,,,,,,,,,,,,,,,,,,
91664_at,ZNF845,,,,,,,,,,,,,,,,,,,
284391_at,ZNF844,,,,,,,,,,,,,,,,,,,
283933_at,ZNF843,,,,,,,,,,,,,,,,,,,
284371_at,ZNF841,,,,,,,,,,,,,,,,,,,
7637_at,ZNF84,,,,,,,,,,,,,,,,,,,
55778_at,ZNF839,,,,,,,,,,,,,,,,,,,
116412_at,ZNF837,,,,,,,,,,,,,,,,,,,
162962_at,ZNF836,,,,,,,,,,,,,,,,,,,
90485_at,ZNF835,,,,,,,,,,,,,,,,,,,
401898_at,ZNF833P,,,,,,,,,,,,,,,,,,,
128611_at,ZNF831,,,,,,,,,,,,,,,,,,,
91603_at,ZNF830,,,,,,,,,,,,,,,,,,,
55769_at,ZNF83,,,,,,,,,,,,,,,,,,,
374899_at,ZNF829,,,,,,,,,,,,,,,,,,,
152485_at,ZNF827,,,,,,,,,,,,,,,,,,,
664701_at,ZNF826P,,,,,,,,,,,,,,,,,,,
55552_at,ZNF823,,,,,,,,,,,,,,,,,,,
55565_at,ZNF821,,,,,,,,,,,,,,,,,,,
390963_at,ZNF818P,,,,,,,,,,,,,,,,,,,
125893_at,ZNF816,,,,,,,,,,,,,,,,,,,
401303_at,ZNF815P,,,,,,,,,,,,,,,,,,,
730051_at,ZNF814,,,,,,,,,,,,,,,,,,,
126017_at,ZNF813,,,,,,,,,,,,,,,,,,,
729648_at,ZNF812P,,,,,,,,,,,,,,,,,,,
347344_at,ZNF81,,,,,,,,,,,,,,,,,,,
388558_at,ZNF808,,,,,,,,,,,,,,,,,,,
100129800_at,ZNF807,,,,,,,,,,,,,,,,,,,
646915_at,ZNF806,,,,,,,,,,,,,,,,,,,
390980_at,ZNF805,,,,,,,,,,,,,,,,,,,
219578_at,ZNF804B,,,,,,,,,,,,,,,,,,,
91752_at,ZNF804A,,,,,,,,,,,,,,,,,,,
168850_at,ZNF800,,,,,,,,,,,,,,,,,,,
7634_at,ZNF80,,,,,,,,,,,,,,,,,,,
108903150_at,ZNF8-ERVK3-1,,,,,,,,,,,,,,,,,,,
7554_at,ZNF8,,,,,,,,,,,,,,,,,,,
90576_at,ZNF799,,,,,,,,,,,,,,,,,,,
101927720_at,ZNF793-AS1,,,,,,,,,,,,,,,,,,,
390927_at,ZNF793,,,,,,,,,,,,,,,,,,,
126375_at,ZNF792,,,,,,,,,,,,,,,,,,,
163049_at,ZNF791,,,,,,,,,,,,,,,,,,,
284408_at,ZNF790-AS1,,,,,,,,,,,,,,,,,,,
388536_at,ZNF790,,,,,,,,,,,,,,,,,,,
7633_at,ZNF79,,,,,,,,,,,,,,,,,,,
285989_at,ZNF789,,,,,,,,,,,,,,,,,,,
388507_at,ZNF788P,,,,,,,,,,,,,,,,,,,
126208_at,ZNF787,,,,,,,,,,,,,,,,,,,
136051_at,ZNF786,,,,,,,,,,,,,,,,,,,
146540_at,ZNF785,,,,,,,,,,,,,,,,,,,
147808_at,ZNF784,,,,,,,,,,,,,,,,,,,
100289678_at,ZNF783,,,,,,,,,,,,,,,,,,,
158431_at,ZNF782,,,,,,,,,,,,,,,,,,,
163115_at,ZNF781,,,,,,,,,,,,,,,,,,,
163131_at,ZNF780B,,,,,,,,,,,,,,,,,,,
284323_at,ZNF780A,,,,,,,,,,,,,,,,,,,
197320_at,ZNF778,,,,,,,,,,,,,,,,,,,
27153_at,ZNF777,,,,,,,,,,,,,,,,,,,
284309_at,ZNF776,,,,,,,,,,,,,,,,,,,
285971_at,ZNF775,,,,,,,,,,,,,,,,,,,
342132_at,ZNF774,,,,,,,,,,,,,,,,,,,
374928_at,ZNF773,,,,,,,,,,,,,,,,,,,
400720_at,ZNF772,,,,,,,,,,,,,,,,,,,
51333_at,ZNF771,,,,,,,,,,,,,,,,,,,
54989_at,ZNF770,,,,,,,,,,,,,,,,,,,
58492_at,ZNF77,,,,,,,,,,,,,,,,,,,
79724_at,ZNF768,,,,,,,,,,,,,,,,,,,
79970_at,ZNF767P,,,,,,,,,,,,,,,,,,,
90321_at,ZNF766,,,,,,,,,,,,,,,,,,,
